New project list: Table 1
Project_Number,Description,City,Client,Address,Client Contact,Archive?,Phase Type
17280,Walmart Langley (3158),"Langley, BC",Walmart,,Carmelo Ragusa,n,Standard
17281,Walmart Duncan (3025),"Duncan, BC",Walmart,,Carmelo Ragusa,n,Standard
17282,Walmart Edmonton E (3026),"Edmonton, AB",Walmart,,Carmelo Ragusa,n,Standard
17283,Walmart Lethbridge (3048),"Lethbridge, AB",Walmart,,Carmelo Ragusa,n,Standard
17284,Walmart Red Deer (3194),"Red Deer, Alberta",Walmart,,Carmelo Ragusa,n,Standard
17285,Walmart Olds (1084),"Olds, AB",Walmart,,Carmelo Ragusa,n,Standard
17286,Walmart Winnipeg N (3118),"Winnipeg, MB",Walmart,,Carmelo Ragusa,n,Standard
17287,Walmart Winnipeg C (3116),"Winnipeg, MB",Walmart,,Carmelo Ragusa,n,Standard
17288,Walmart Yorkton (3176),"Yorkton, SK",Walmart,,Carmelo Ragusa,n,Standard
17289,Region of York 13461 Hwy 48,"Stouffville, ON",Other,,Dan Bechberger,n,Standard
17298,PenEquity London,"London, ON",Other,,Rob Roberto,n,17298
17301,Walmart PDC (SCDC North),"Surrey, BC",Walmart,,Andre Kaptein,n,Standard
17314,Meadowbrook Road Burlington,"Burlington, Ontario",Other,,Glenn Wellings,n,Standard
17327,Saanich RV Park,"Saanich, BC",Other,,Keith McRae,n,Standard
17330,Walmart St. Albert (3087),"S. Albert, AB",Walmart,,Carmelo Ragusa,n,Standard
17331,Walmart Calgary NW (5726),"Calgary, AB",Walmart,,Carmelo Ragusa,n,Standard
17332,Walmart Calgary W (3009),"Calgary, AB",Walmart,,Carmelo Ragusa,n,Standard
17333,Walmart Abbotsford (3019),"Abbotsford, BC",Walmart,,Carmelo Ragusa,n,Standard
17334,Walmart Langford (3188),"Langford, BC",Walmart,,Carmelo Ragusa,n,Standard
17335,Walmart Victoria (3109),"Victoria, BC",Walmart,,Carmelo Ragusa,n,Standard
17336,Walmart Winnipeg S (3119),"Winnipeg, MB",Walmart,,Carmelo Ragusa,n,Standard
17338,Fieldgate Oshawa,Oshawa ON,Other,,Debbie Pacchiarotti,n,Standard
18343,UDGA Patricia Bay Saanich,"Saanich, BC",UDGA,,Aaron Vornbrock,n,Standard
18348,Walmart Regina East (3179),"Regina, SK",Walmart,,Carmelo Ragusa,n,Standard
18351,Arbutus Phase 6A,"Saskatoon, SK",Arbutus,,Jeff Drexel,n,Standard
18352,Choice Abbotsford Gladwin,"Abbotsford, BC",Choice,,David Major,n,Standard
18355,Choice Lethbridge,"Lethbridge, AB",Choice,,David Major,n,Standard
18356,Walmart Newmarket (3062),"Newmarket, ON",Walmart,,Kelly Voisin,n,Standard
18362,Lowe's Lime Ridge Mall (Hamilton),"Hamilton, ON",Lowes,,Sylvain Rivet,n,Lowes
18366,Gykan Enterprises - 1550 Birchmount,"Toronto, ON",Other,1550 Birchmount Road,Vip Jain,n,Standard
18368,Walmart Grandview (1104),"Vancouver, BC",Walmart,,Carmelo Ragusa,n,Standard
18369,Choice Lethbridge Kal Tire,"Lethbridge, AB",Choice,,David Major,n,Standard
18379,Morriston Vet Clinic,"Morriston, ON",Other,,Linda Huynh,n,Standard
18386,Walmart Squamish (1015),"Squamish, BC",Walmart,"39210 Discovery Way, Squamish",Carmelo Ragusa,n,Standard
18387,Walmart DC 6063 Calgary,"Calgary, AB",Walmart,"3400 39 Avenue NE, Calgary",Petroff - Dan Izzett,n,Standard
18388,Walmart DC 6081 Rocky View (Calgary) Balzac,"Rocky View, AB",Walmart,"261039 Wagon Wheel Cres., Rocky View",Petroff - Dan Izzett,n,Standard
18389,Walmart Hillside (Victoria),"Victoria, BC",Walmart,,Noam Itzkovski,n,Standard
18390,Walmart Kingsway (Edmonton),"Edmonton, AB",Walmart,,Noam Itzkovski,n,Standard
18391,Walmart Fort McMurray (Stone Creek),"Fort McMurray, AB",Walmart,,Carmelo Ragusa,n,Standard
18393,Lowe's Letter of Credit Project,-,Lowes,,Sylvain Rivet,n,Lowes
18397,Walmart Northland (3011),"Calgary, AB",Walmart,"5005 Northland Drive NW, Calgary",Carmelo Ragusa,n,Standard
18398,Whitby - Miller Planning,"Whitby, ON",Other,"Garden Street, Whitby",Rodger Miller,n,Standard
18399,Newtonville - Miller Planning,"Clarington, ON",Other,"4442 Hill Street, Newtonville",Rodger Miller,n,Standard
19401,Orleans (2705 Mer Bleue Road),"Orleans, ON",Other,2705 Mer Bleue Road,Andrew Glass,n,Standard
19402,Walmart Lindsay,"Lindsay, Ontario",Walmart,,Kelly Voisin,n,Standard
19405,Walmart Bolton,"Bolton, ON",Walmart,,Kelly Voisin,n,Standard
19407,CPC Toronto Tapscott,"Toronto, ON",Other,,Alex Rebanks,n,Standard
19408,Walmart Winnipeg SW 3177,"Winnipeg, MB",Walmart,1665 Kenaston Blvd,Noam Itzkovski,n,Standard
19409,Walmart Kelowna 3042,"Kelowna, BC",Walmart,1555 Banks Road,Noam Itzkovski,n,Standard
19410,Dixie Outlet Mall,"Mississauga, On",Other,1250 S Service Rd,Shawn Fujiki,n,Standard
19411,Foodland - Lucan,"Lucan, ON",Foodland,,Phil Busby,n,Standard
19412,Foodland - Vineland,"Vineland, ON",Foodland,,Phil Busby,n,Standard
19413,St James Cemetary,"Toronto, ON",Other,,Lees and Associates,n,Standard
19414,VGA Woodstock BLDG G,"Woodstock, ON",Other,,Ron Gagliardi,n,Standard
19415,Walmart Brockville (3006),"Brockville, ON",Walmart,1942 Parkdale Avenue,Kelly Voisin,n,Standard
19416,Walmart Lloydminster (3168),"Lloydminster, AB",Walmart,4210 - 70th Avenue,Kelly Voisin,n,Standard
19417,Walmart Renfrew (3078),"Renfrew, ON",Walmart,980 Obrien Road R.R.#1,Kelly Voisin,n,Standard
19418,Walmart Trenton (3178),"Trenton, ON",Walmart,470 2nd Dughill Road,Kelly Voisin,n,Standard
19419,Walmart Kanata (3134),"Kanata, ON",Walmart,500 Earl Grey Drive,Kelly Voisin,n,Standard
19420,FreshCo Peterborough,"Peterborough, ON",FreshCo,,Phil Busby,n,Standard
19421,Fieldgate Oshawa Movati,"Oshawa, ON",Other,,Stephanie,n,Standard
19422,CRH Burlington SWM,"Burlington, ON",Other,,Jessica Ferri,n,Standard
19425,The Properties Group - Brantford,"Brantford, ON",Other,,Andrew Glass,n,Standard
19427,Walmart Grande Prairie (3147),Grande Prairie,Walmart,,Kelly Voisin,n,Standard
19431,Walmart (3042) Kelowna Pavement Replacement,"Kelowna, BC",Walmart,,Noam Itzkovsky,n,Standard
19432,Walmart Okotoks 5708 Sanitary Sewer Easement,"Okotoks, AB",Walmart,,Kelly Voisin,n,Standard
19433,Walmart Windermere (1094) Rightsize,"Edmonton, AB",Walmart,,Kelly Voisin,n,Standard
19434,Foodland Craighurst,"Craighurst, ON",Foodland,,Phil Busby,n,Standard
19435,Foodland Palmerston,"Palmerston, ON",Foodland,,Caley Howes,n,Standard
19436,Foodland Vankleek Hill,"Vankleek Hill, ON",Foodland,,Phil Busby,n,Standard
19437,Sherwood Park Hyundai,"Sherwood Park, AB",Other,,Michelle Beggs,n,Standard
19439,Hetti (Cobourg),"Cobourg, ON",Other,,Rodger Miller,n,Standard
19440,RioCan Millcroft Centre,"Burlington, ON",Other,200-2080 Appleby Line,Raza Mehdi,n,Standard
19441,RioCan Burlington Centre,"Burlington, ON",Other,777 Guelph Line,Raza Mehdi,n,Standard
19442,FreshCo Peterborough (Brock Street),"Peterborough, ON",FreshCo,,Caley Howes,n,Standard
19443,Walmart Cornwall DC (6093)Yeti,"Cornwall, ON",Walmart,,,n,Standard
19444,FreshCo - Old Weston Road,"Toronto, ON",FreshCo,,Caley Howes,n,Standard
19445,Port Perry Hospice,Port Perry,Other,,Rodger Miller,n,Standard
19447,Walmart Edmonton NE (3028),"Edmonton, AB",Walmart,,Noam Itzkovsky,n,Standard
19448,Walmart Winnipeg (3107),Winnipeg,Walmart,,Noam Itzkovsky,n,Standard
19449,Terracap North Battleford Montanas & Liquor Store,"North Battleford, SK",Terracap,,Jason Mcauly,n,19449
19450,Walmart Abbotsford 3019 Pavement Assessment ,"Abbotsford, BC",Walmart,,Noam Itzkovsky,n,Standard
19451,Walmart Macleod 3010 Pavement Assessment,"Calgary, AB",Walmart,,Noam Itzkovsky,n,Standard
19452,Walmart Smiths Falls 5811 Pavement Assessment,"Smiths Falls, ON",Walmart,,Noam Itzkovsky,n,Standard
19453,Walmart Edmonton South Common Rightsize (3029) ,"Edmonton, AB",Walmart,,Noam Itzkovsky,n,Standard
19454,Highway 2 - Courtice,"Courtice, ON",Other,,Rodger Miller,n,Standard
19455,Walmart Calgary Marlborough (3012),"Calgary, AB",Walmart,,Noam Itzkovsky,n,Standard
19456,Foodland (Sobey's) Stayner,"Stayner, ON",Foodland,,Phil Busby,n,Standard
19457,Foodland Beach,"Toronto, ON",Foodland, (2032-2040 Queen Street East),Caley Howes,n,Standard
19458,Foodland Northbrook,"Northbrook, ON",Foodland,,Phil Busby,n,Standard
19459,Woodstock Southwest Plan,"Woodstock, ON",Other,,,n,Standard
19460,Walmart Oakville (3064),"Oakville, ON",Walmart,,Noam Itzkovsky,n,Standard
19461,Metro Star (Rodger Miller),"Pickering, ON",Other,,Rodger Miller,n,Standard
19462,2832 Courtice,"Courtice, ON",Other,,Rodger Miller,n,Standard
19463,St. John's Dixie Cemetary Expansion,"Mississauga, ON",Other,,Reinaldo Jordan,n,Standard
19464,Sobeys Mount Forest Foodland,"Mount Forest, ON",Foodland,,Phil Busby,n,Standard
19465,Foodland Rockwood,"Rockwood, ON",Foodland,,Phil Busby,n,Standard
19466,Craydon Road - Whitby,"Whitby, ON",Other,,Rodger Miller,n,Standard
19467,Sobeys Orleans,"Orleans, ON",Sobeys,,Phil Busby,n,Standard
19468,Dynamic Drive,Scarborough,Other,,Frank Fisl,n,Standard
20469,Foodland Rockwood (Pasmore),"Rockwood, ON",Foodland,,Caley Howes,n,Standard
20470,Foodland Essex,"Essex, ON",Foodland,,Caley Howes,n,Standard
20471,Lincoln Winery,"Lincoln, ON",Other,,Tony Rapanaro,n,Standard
20473,Crombie House,"New Glasgow, Nova Scotia",Other,,Phil Busby,n,Standard
20474,Foodland Creemore,"Creemore, ON",Foodland,,Caley Howes,n,Standard
20475,FreshCo,"Kingston, ON",FreshCo,,Scott Doan,n,Standard
20476,Sobeys Etobicoke (Spoke),"Etobicoke, ON",Sobeys,,Phil Busby,n,Standard
20477,Lowe's West BDC,"Calgary, AB",Lowes,,Bernard Mercier,n,Lowes
20478,CRH Hamilton Parking Lot,"Hamilton, ON",Other,,Zaki Khan,n,Standard
20481,Walmart Garden Centres,Canada,Walmart,,Kelly Voisin,n,20481
20482,Walmart Winnipeg W (3117),Winnipeg,Walmart,,Kelly Voisin,n,Standard
20483,Walmart Welland (3110),"Welland, ON",Walmart,,Yasmin Servat,n,Standard
20484,Choice Seton,"Calgary, AB",Choice,,Tanya Clark,n,Standard
20486,Walmart Saskatoon (3083),"Saskatoon, SK",Walmart,,Kelly Voisin,n,Standard
20487,Surrey PDC West - Civilec Inspections,"Surry, BC",Other,,Paul Lhotsky,n,Standard
20488,Sobeys Ottawa Hawthorne (Cross Dock),"Ottawa, ON",Sobeys,,Phil Busby,n,Standard
20489,SkyDev Gravenhurst,"Gravenhurst, ON",SkyDev,,Carrie Lamarche,n,20489
20491,Skydev Whitby,"Whitby, ON",SkyDev,,Carrie Lamarche,n,Standard
20492,9846 Keele Street,"Maple, ON",Other,,Robert Danninger,n,Standard
20493,Sobeys Etobicoke Expansion (125 The Queensway),"Etobicoke, ON",Sobeys,,Caley Howes,n,Standard
20494,Sobeys Burlington Cross-Dock (4130 Harvester Road),"Burlington, ON",Sobeys,,Phil Busby,n,Standard
20495,Walmart TLE Projects,Canada,Walmart,,Kelly Voisin,n,20495
20496,Skydev Chatham Riverview,"Chatham, ON",SkyDev,,Carrie Lamarche,n,Standard
20497,Timbercreek 11160 Yonge Street,"Richmond Hill, ON",Other,,Aimee Grigg,n,20497
20498,Sobeys Toronto Port Lands (Spoke),"Toronto, ON",Sobeys,,Phil Busby,n,Standard
20499,Sobeys Ottawa (Spoke) - Don Reid Drive ,"Ottawa, ON",Sobeys,,Phil Busby,n,Standard
20500,Fieldgate Properties - Kerns Road Burlington,"Burlington, ON",Other,,Mark Sim,n,Standard
20501,Lowe's Erin Mills,"Mississauga, ON",Lowes,,Bernard Mercier,n,Lowes
20502,Governor's Bridge Lookout,"Toronto, ON",Other,,Zeynep Bank,n,Standard
20503,Sobeys - Yonge & Mapleview (FarmBoy),"Barrie, ON",Sobeys,,Phil Busby,n,Standard
20504,Sobeys Vaughan (RSC),"Vaughan, ON",Sobeys,,Phil Busby,n,Standard
20505,Rona Aurora DFC ACC,Aurora,Rona,,Bernard Mercier,n,Lowes
20506,Totem Edmonton DFC ACC,"Edmonton, AB",Other,,Bernard Mercier,n,Standard
20507,Lowe's North Etobicoke DFC ACC,"Etobicoke, ON",Lowes,,Bernard Mercier,n,Lowes
20508,Rona Calgary Creekside DFC ACC,"Calgary, AB",Rona,,Bernard Mercier,n,Lowes
20509,Lowe's Cornwall DFC ACC,"Cornwall, ON",Lowes,,Bernard Mercier,n,Lowes
20510,Walmart Ajax Garden Centre (3001),"Ajax, ON",Walmart,,Kelly Voisin,n,Standard
20511,Walmart Bowmanville Garden Centre (1001),Bowmanville,Walmart,,Kelly Voisin,n,Standard
20512,Walmart Erin Mills Town Centre (1211),"Mississauga, ON",Walmart,,Kelly Voisin,n,Standard
20513,Fieldgate - Brooklin ,"Brooklin, ON",Other,,Matt West,n,Standard
20514,Walmart Port Elgin - Refresh,"Port Elgin, ON",Walmart,,Kelly Voisin,n,Standard
20515,Walmart Tillsonburg - Refresh,"Tilsonburg, ON",Walmart,,Kelly Voisin,n,Standard
20516,Walmart Wallaceburg - Refresh,"Wallaceburg, ON",Walmart,,Kelly Voisin,n,Standard
20517,Walmart Fergus - Refresh,"Fergus, ON",Walmart,,Kelly Voisin,n,Standard
20518,Walmart Amherstburg - Refresh,"Amherstburg, ON",Walmart,,Kelly Voisin,n,Standard
20519,BMO Winston Churchill,"Mississauga, ON",Other,,"Scott MacDonald , Intersekt",n,Standard
20520,Walmart Strathroy,"Strathroy, ON",Walmart,,Kelly Voisin,n,Standard
20521,SkyDev Guelph (Hanlon Creek Business Park),"Guelph, ON",SkyDev,,Carrie Lamarche,n,Standard
20522,Walmart Winnipeg North (3118) Pavement Replacement,"Winnipeg, MB",Walmart,,Kelly Voisin,n,20522
20523,UDGA Glen Drive Coquitlam,"Coquitlam, BC",UDGA,,Fariba,n,Standard
20524,UDGA 3165 King George Boulevard,"Surrey, BC",UDGA,,Aaron V,n,Standard
20525,UDGA Langley (200 St and 40th Ave),"Langley, BC",UDGA,,Aaron V,n,Standard
20526,85 Willow Road (Guelph),"Guelph, ON",Other,,Greg Jones,n,Standard
20527,SkyDev Tecumseh,"Tecumseh, ON",SkyDev,,Carrie Lamarche,n,Standard
20528,Sobeys Scarborough (Spoke) ,"Scarborough, ON",Sobeys,,Phil Busby,n,Standard
20529,670 Indian Road,"Toronto, ON",Other,"670 Indian Road, Toronto, ON, ",Peter Dreimanis,n,Standard
20530,Sobeys - Bedford Halifax,"Bedford, NS",Sobeys,,Phil Busby,n,Standard
20531,Walmart Parry Sound (1023) Refresh,"Parry Sound, ON",Walmart,,Kelly Voisin,n,Standard
20532,Walmart Huntsville (5743) Refresh,"Huntsville, ON",Walmart,,Kelly Voisin,n,Standard
20533,Walmart Carleton Place (1075) Refresh,"Carleton Place, ON",Walmart,,Kelly Voisin,n,Standard
20534,Walmart Port Perry (1069) Refresh,"Port Perry, ON",Walmart,,Kelly Voisin,n,Standard
20535,Walmart Mission (1119) Refresh,"Mission, BC",Walmart,,Kelly Voisin,n,Standard
20536,Foodland Foxboro (Parliament),"Foxboro, ON",Foodland,,Caley Howes,n,Standard
20537,Diamondback Whitby,"Whitby, ON",Other,,Rodger Miller,n,Standard
20538,Walmart Sicamous - Truck Transfer,"Sicamous, BC",Walmart,,Jarek Maliszewski,n,20538
20539,Walmart Edmonton (3027),"Edmonton, AB",Walmart,,Yasmin Servat,n,20539
20540,UDGA 333 Brooksbank Avenue - CRU D,"North Bancouver, BC",UDGA,,Aaron V,n,20540
20541,FreshCo Oshawa (1279 Simcoe),"Oshawa, ON",FreshCo,,Phil Busby,n,Standard
20542,Fieldgate London Retirement,"London, ON",Other,,Debbie P,n,Standard
20543,Leaside Spoke - Sobeys,"Toronto, ON",Sobeys,,Phil Busby,n,Standard
20544,Walmart Red Deer (3194) Pavement Replacement,"Red Deer, AB",Walmart,,Yasmin Servat,n,Standard
20545,Walmart Edson (1048) Pavement Replacement,"Edson, AB",Walmart,,Yasmin Servat,n,Standard
20546,Chartwell Burlington,"Burlington, ON",Other,,Kathy Kakish,n,Standard
20547,Collingwood Peer Review ,"Collingwood,ON",Other,,Greg Jones,n,Standard
20548,Walmart Wetaskiwin (3112) Pavement Replacement,"Wetaskiwin, AB",Walmart,,Yasmin Servat,n,Standard
20549,Walmart Vegreville (1071) Pavement Replacement,"Vegreville, AB",Walmart,,Yasmin Servat,n,Standard
20550,Walmart Drumheller (1028) Pavement Replacement,"Drumheller, AB",Walmart,,Yasmin Servat,n,Standard
20551,Walmart Windermere (1094) Pavement Replacement,"Edmonton, AB",Walmart,,Yasmin Servat,n,Standard
20552,Sobeys Spoke Scarborough (41 Lamont),"Scarborough, ON",Sobeys,,Phil Busby,n,Standard
20553,Walmart Covid Entry Structures,Canada,Walmart,,Jasna Bozovic,n,WalCovid

Standard: Table 1
100,PM,,,
200,Planning,,,
300,Site Planning,,,
400,Engineering,,,
500,Contract Admin,,,


Lowes: Table 1
"2019.01 - Screening,",,,,
"2019.03 - REC Site Planning and Planning,",,,,
"2019.04 - REC Engineering,",,,,
"2019.06 - Due Diligence,",,,,
"2021.02 - Permitting - Project Management,",,,,
"2023.01 - Permitting - 40% submission,",,,,
"2023.02 - Permitting - 90% submission,",,,,
"2023.03 - Permitting - 100% submission,",,,,
"2023.09 - permitting - Site Plan,",,,,
"2024 - Permitting - Offsite Plans,",,,,
"2026.01 - Contract Admin - Pre Construction Services,",,,,
"2026.02 - Contract Admin - Attend Pre-Bid Meeting,",,,,
"2026.03 - Contract Admin - Attend Pre-Construction Meeting,",,,,
"2026.04 - Contract Admin - Bi-weekly Site Visits,",,,,
"2026.05 - Contract Admin - Conduct Preliminary Site Works Review,",,,,
"2026.06 - Contract Admin - Conduct Final Site Works Review,",,,,
"2026.07 - Contract Admin - Review of Shop Drawings,",,,,
"2026.08 - Contract Admin - Review Site Works Change order Information,",,,,
"2026.09 - Contract Admin - Review of Site Works As-built Information,",,,,
"2026.10 - Contract Admin - Provide Civil Letter of General Conformance,",,,,
"2026.11 - Contract Admin - General Coordination,",,,,

WalCovid: Table 1
3109 Victoria BC,,,,
3188 Langford BC,,,,
3199 Quesnel BC,,,,
3075 Red Deer AB,,,,
3121 Yellowknife NWT,,,,
3157 Ft McMurray AB,,,,
1204 Winnipeg MB,,,,
3116 Winnipeg MB,,,,
3117 Winnipeg MB,,,,
3106 Toronto ON,,,,
3141 Burlington ON,,,,
3067 Owen Sound ON,,,,
1039 Collingwood ON,,,,
1004 Toronto ON,,,,
3105 North York ON,,,,
3635 Scarborough ON,,,,
3046 Lasalle QC,,,,
3094 St Leonard QC,,,,
3646 Beauport QC,,,,
1003 Bridgewater NS,,,,
1016 Yarmouth NS,,,,

20538: Table 1
1.1,Fit Tests,,,
1.2,Due Diligence Review,,,
1.3,Planning Review,,,
1.4,Civil - Preliminary Design and REC Level Cost Estimate,,,
1.5,Project Management,,,


20539: Table 1
100.1,Background Information Collection,,,
100.4,Site Plan Modifications/Preparation for Pre-Consult,,,
100.6,Stage I Preparation/Review/Schedule,,,
100.8,Planning Memo,,,
100.9,General Project Management,,,


20540: Table 1
01 Design Development,,,,
02 Building Permit Approval Engineering Drawings,,,,
03 Building Permit Approval Revisions,,,,
04 Erosion and Sediment Control Drawings,,,,
05 Tender / Construction Drawings,,,,
06 Construction Field Review,,,,


19449: Table 1
Phase 2 – Development Permit Application,,,,
Phase 2 – Design Engineering Submission 1,,,,
Phase 2 – Design Engineering Submission 2,,,,
Phase 2 – Construction Inspections and Certifications,,,,


20522: Table 1
,,,,
1,Construction Field Inspections,,,
2,Contract Administration/Project Coordination,,,
3,Payment Certificates,,,
4,Change Order Processing,,,
5,Project Certification,,,


17298: Table 1
a. SPA - Site Plan,,,,
b. SPA - PM,,,,
c. SPA - Design,,,,
d. Tender Preparation - PM,,,,
e. Tender Preparation - Site Plan,,,,
f. Tender Preparation - Design,,,,
g. Tender Preparation - Tender Docs,,,,
h. Site Servicing Permit - PM,,,,
i. Site Servicing Permit - Design,,,,
j. Tender Review / Contract Coordination,,,,
k. Contract Administration,,,,
l. Site Inspection,,,,
m. PTA #1 – Design,,,,
n. PTA #1 – CA Documents,,,,

20481: Table 1
1001 Bowmanville,,,,,,,,,,,
1013 Grand Falls,,,,,,,,,,,
1056 Oshawa East,,,,,,,,,,,
1061 Mississauga Heartland,,,,,,,,,,,
1083 Alliston,,,,,,,,,,,
1126 Mississauga East,,,,,,,,,,,
1162 Peterborough South,,,,,,,,,,,
3001 Ajax,,,,,,,,,,,
3002 Baie Comeau-Quebec,,,,,,,,,,,
3054 Mississauga Meadowvale,,,,,,,,,,,
3055 Mississauga Square One,,,,,,,,,,,
3071 Peterborough,,,,,,,,,,,
3082 Sarnia,,,,,,,,,,,
3114 S Windsor Gateway,,,,,,,,,,,
3115 E Windsor Gateway,,,,,,,,,,,
3133 Cobourg,,,,,,,,,,,
3160 Niagara Falls,,,,,,,,,,,
3161 Oshawa North,,,,,,,,,,,
3172 St Catharines W,,,,,,,,,,,
3654 Mississauga Erin Mills,,,,,,,,,,,
1211 Erin Mills Town Centre,,,,,,,,,,,
3048 Lethbridge South,,,,,,,,,,,

20495: Table 1
1078 Lethbridge (N) AB,,,,
3048 Lethbridge AB,,,,
3075 Red Deer (N) AB,,,,
3112 Wetaskiwin AB,,,,
3147 Grande Prairie AB,,,,
3150 Medicine Hat AB,,,,
3168 Lloydminster AB,,,,
3181 Camrose AB,,,,
3194 Red Deer (S) AB,,,,
3640 Cold Lake AB,,,,
5753 Fort Saskatchewan AB,,,,
1015 Squamish BC,,,,
1018 Port Alberni BC,,,,
1093 Westbank BC,,,,
3025 Duncan BC,,,,
3057 North Vancouver BC,,,,
3060 Nelson BC,,,,
3070 Penticton BC,,,,
3158 Langley BC,,,,
3163 Courtenay BC,,,,
3169 Vernon BC,,,,
3183 Cranbrook BC,,,,
3651 Prince George BC,,,,
5777 New Westminster BC,,,,
5834 Terrace BC,,,,
5838 Surrey (W) BC,,,,
5853 Surrey (S) BC,,,,
1027 Selkirk MB,,,,
3004 Brandon MB,,,,
3117 Winnipeg (W) MB,,,,
3118 Winnipeg (N) MB,,,,
3119 Winnipeg (S) MB,,,,
3176 Yorkton SK,,,,
3177 Winnipeg (SW) MB,,,,
3179 Regina (E) SK,,,,
3058 North Battleford SK,,,,
3069 Portage La Prairie MB,,,,
1031 Ottawa (E) ON,,,,
1041 Napanee ON,,,,
1101 Bradford ON,,,,
3006 Brockville ON,,,,
3067 Owen Sound ON,,,,
3078 Renfrew ON,,,,
3082 Sarnia ON,,,,
3114 Windsor (S) ON,,,,
3164 Leamington ON,,,,
3166 Barrie (N) ON,,,,
3172 St Catharines (W) ON,,,,
3178 Trenton ON,,,,
3131 Ottawa (S) ON,,,,
3133 Cobourg ON,,,,
3134 Kanata ON,,,,
3144 Guelph  ON,,,,
3645 Midland ON,,,,
5743 Huntsville ON,,,,
5752 Simcoe ON,,,,
5811 Smiths Falls ON,,,,
1007 Kitchener (W) ON,,,,
1039 Collingwood ON,,,,
1042 Hamilton (Se) ON,,,,
3016 Chatham ON,,,,
3050 London (N) ON,,,,
3071 Peterborough ON,,,,
3088 St Catharines (E) ON,,,,
3104 Timmins ON,,,,
3110 Welland ON,,,,
3123 Barrie (S) ON,,,,
3124 Thunder Bay ON,,,,
3142 Orangeville ON,,,,
3153 Orillia ON,,,,
3155 Sault Ste Marie ON,,,,
3638 Barrhaven ON,,,,
3649 Fort Erie ON,,,,
1020 Ste-Agathe QC,,,,
1025 Matane QC,,,,
1040 St-Georges QC,,,,
1045 St-Romuald / Charny QC,,,,
1076 Magog QC,,,,
1085 Lachenaie QC,,,,
3014 Cap De La Madeleine QC,,,,
3023 Drummondville QC,,,,
3136 Rouyn Noranda QC,,,,
